Name,Frequency,Confidence,Primary_Role,Affiliation,Variants,File_Count
Chavez,473,high,legislator,NM Native Vote,Eleanor Chavez; Rikki Lee Chavez; Nicole Chavez; Osa Chavez; Felix Chavez; Rickie Lee Chavez; Ann Chavez,116
Stewart,460,high,legislator,"Mr Daniel
Nagy are",,161
Gonzalez,457,high,legislator,"El Paso
Electric",Rico Gonzalez; Vidal Gonzalez; Marco Gonzalez; Matthew Gonzalez,163
Pope,449,high,legislator,,,141
Duncan,444,high,legislator,,Ranking Member Duncan,90
Hernandez,432,high,legislator,"Shiprock New Mexico
I also serve on the energy
transition out com",Joseph Hernandez,157
What,416,high,official,,What What; But What; What Is What; Part Of What; From What,318
Kernan,413,high,legislator,,,106
Matthews,413,high,legislator,"Mexico working families party we
stand in strong support of this
joint resolution thank you to
Representative Rubio for
bringing it forward and all the
other co sponsors and I hope
everyone travels safely today
with the weather so thank you
please support",Marian Matthews,104
Baca,410,high,legislator,"Centrelink you
say a few words Kaliopi family
we can move on to public comment
and questions from the committee
thank you",Leo Baca,148
Chatfield,410,high,legislator,San Pedigrew,Jack Chatfield,178
Charlie,406,high,legislator,"New Mexico health care
association",Charlie Charlie,61
Gallegos,395,high,legislator,,,127
Herndon,394,high,legislator,,Pamela Herndon,126
Wirth,386,high,legislator,,,135
Jones,382,high,legislator,ACLU,Barron Jones; Jennifer Jones,78
Montoya,382,high,legislator,Farming to NASDAQ,Roger Montoya,136
Romero,375,high,legislator,"National
Alliance on mental illness both
at the state and national level
and all the reasons stated here
this morning in the interest of
time madam chair we support of
house bill fifty one thank you
thank you Patsy",Patsy Romero; John Romero; Andrea Romero,183
Campos,367,high,legislator,,Campos Yes Campos,166
Just,358,high,official,Senator Hamblin,Let Me Just; We'Re Just; Ivey Soto Just; Just Just; You'Re Just,293
Ramos,353,high,legislator,,,49
Vincent,344,high,legislator,,,97
Lujan,343,high,legislator,,,137
Pinto,340,high,legislator,,Shannon Pinto,80
Nibert,328,high,legislator,,,79
But,323,high,official,"Mr chair I would move
the LFC recommendation",Britney But; But But,248
Yeah,319,high,official,,Hemphill Yeah,270
Anderson,307,high,legislator,,Phelps Anderson; John Anderson,99
Munoz,304,high,legislator,,,127
Let,298,high,legislator,,All Right Let; Let Me Let,228
Pettigrew,292,high,legislator,,Represented Pettigrew,85
Ok,290,high,official,,,178
Block,284,high,legislator,,,44
Maestas,273,high,legislator,,Ingle Center Maestas,112
All Right,273,high,official,,Right,213
Silva,269,high,legislator,Coalition on Homelessness,Mone Silva,77
Paul,268,high,legislator,"Public Charter Schools of New
Mexico",Matt Paul,103
Harper,260,high,legislator,,,68
Ivey Soto,252,high,legislator,,,68
Please,251,high,legislator,,Sweetser Please; Roybal Caballero Please; Brown Please; Lane Please; Garrett Please; Trujillo Please; Lara Please; Dow Please; Chatfield Please; Care Please; Figueroa Please; Baca Please; Garcia Please; Allison Please; Sedillo Lopez Please; Pettigrew Please; Montoya Please; Ezzell Please; Woods Please,125
Ortiz,244,high,legislator,"New Mexico
School Board Association and
speaking for our membership",Lily May Ortiz,111
Hall,243,high,legislator,Fidelity Investments,Art Hall,39
Center,236,high,official,,Tallman Yes Center; Clemente Yes Center,140
Thornton,231,high,legislator,,,51
Hemphill,230,high,legislator,"Senate district
twenty eight which includes
Grant County catching County in
Westchester court County",Siah Correa Hemphill,99
Lane,229,high,legislator,,Rebecca Lane,106
Rodriguez,224,high,legislator,,Stephanie Rodriguez,107
Ferrari,224,high,legislator,Manzano,Joanne Ferrari,58
Dow,223,high,legislator,,,85
Mason,215,high,legislator,,Dick Mason,78
Tallman,213,high,legislator,,,79
Chandler,212,high,legislator,,,90
Cervantes,212,high,legislator,,,73
Lanier,209,high,legislator,,,49
Lord,208,high,legislator,,Stephanie Lord,61
Small,205,high,legislator,,,88
Griggs,203,high,legislator,,,48
Bill,201,high,official,Mr Bundy on the other side,House Bill; Senate Bill; What This Bill; Gonzales Is Bill; Bringing This Bill; Under This Bill; Signs The Bill; With This Bill; Our House Bill,174
Hamblin,195,high,legislator,,,48
Anaya,190,high,legislator,,,30
Cortez,189,high,legislator,,Senna Cortez; Santa Cortez,30
De La Cruz,185,high,legislator,"Texas
put out a statement saying
California is now unable to
perform even basic functions of
civilization like having
reliable electricity
yesterday on the seventeenth the
put out a tweet I have no
defense",Cruz,55
Lara,184,high,legislator,"New Mexico
State University if you would
place",,98
Crowder,184,high,legislator,,,60
Rehm,183,high,legislator,,,67
Chasey,181,high,legislator,,,49
Representatives,181,high,official,"New
Mexico school business
officials",Lord Representatives,105
Gonzales,180,high,legislator,,Marco Gonzales,98
Souls,175,high,legislator,,,96
Share,173,high,legislator,,,101
Little,171,high,legislator,,,69
Alcon,169,high,legislator,,,57
Said,169,high,legislator,,Ivy Soto Said; Ivey Soto Said; Wirth Said; Just Said; Trujillo Said,146
Lente,168,high,legislator,,,90
Thompson,168,high,legislator,"New Mexico
Restaurant Association",Jason Thompson; Kristen Thompson; John Thompson; Liz Thompson,93
Kate,160,high,legislator,"New Mexico for my stop here
for about a year so I work with
el",,73
Cha,159,high,unknown,,,93
Bergman,157,high,legislator,,,32
Hamlin,154,high,legislator,,,55
Because,154,high,official,,Just Because,139
Lewis,153,high,legislator,,,56
Johnson,152,high,legislator,"PED who is
here if we have questions that
we need his expertise to answer
Representative Johnston",Elizabeth Johnson,72
Hamblen,150,high,legislator,,,65
Senators,150,high,official,"Silver City
Senate district twenty eight
which includes Grant County",Mckenna Yes Senators,103
Eli,149,high,legislator,,,82
Again,149,high,official,"Medicaid for the
federal match",Once Again,130
Doo,148,high,legislator,,,46
Mckenna,143,high,legislator,,,56
All,142,high,official,"Senate bill one
sixty nine of this creates a
higher education coordinating
council",First Of All; Those Are All,126
Herrera,141,high,legislator,,,77
Brantley,139,high,legislator,,,53
Pirtle,139,high,legislator,"Roswell I represent questions
Chavis Eddy and Otero counties
and I am told that my sign is
that of the libra which I guess
is standing for the committee
okay thank you senator okay
Senators dork",,55
Diamond,138,high,legislator,,,78
Tobiasson,137,high,legislator,,,51
Brent,134,high,legislator,,,71
Neville,132,high,legislator,,,69
Cook,131,high,legislator,"Law Offices of the
Public Defender",Kim Chavez Cook,46
Luhan,130,high,legislator,,,59
Ezzell,128,high,legislator,,,64
Candelaria,125,high,legislator,"New Mexico Center on party
and a member of the legal team
for the past pla",Melissa Candelaria,52
President,124,high,unknown,,,75
When,122,high,official,"SIM um mapping was
done in the first judicial
district",But When,114
Allison,121,high,legislator,Arizon,Anthony Allison,74
Madam,121,high,public,New M,Penske Yes Madam; Excuse Me Madam; Speaker And Madam,95
Reed,119,high,legislator,,,27
Ingle,119,high,legislator,,,47
Worth,118,high,legislator,,,47
Murphy,117,high,legislator,,,24
Great,116,high,official,,,70
Sweetser,114,high,legislator,"Deming
Representative Luna Hidalgo in
Grant County",Candie Sweetser,69
Burt,112,high,legislator,,Night Burt,70
Sorry,111,high,official,,,105
New Mexico,110,high,public,A C l,Mexico,99
Senate,109,high,public,"Senator Rodriguez as
sponsor",Mckenna Yes Senate; Hamblen Yes Senate,75
Stapleton,108,high,legislator,,Williams Stapleton; Sheryl Williams Stapleton,28
Black,106,high,legislator,"Economic Development
department with me",Rob Black; Designate Rob Black,45
Lundstrom,103,high,legislator,,,49
Ferrary,101,high,legislator,,,55
Hochman Vigil,101,high,legislator,,,58
How To Meal,101,high,legislator,,,51
Strickler,98,high,legislator,,,37
Castellano,97,high,legislator,,,59
One,97,high,official,,Senate Bill One; House Bill One; Give Me One; From District One,85
Any Other Questions,96,high,legislator,"Committee
members Center move to table",Questions,87
Don,96,high,legislator,,Why Don; They Don,84
Abeta,93,high,legislator,,,27
Nava,92,high,legislator,,,39
John,89,high,public,"American
federation of teachers New
Mexico we are also here in
support of house",,79
Expert,88,high,legislator,,,61
Sure,88,high,legislator,,Make Sure,83
Baldonado,85,high,legislator,,,37
With,84,high,official,"Sir and Representative
Dixon are they available",Anyone Else With; Pinto With,79
Hoffman,83,high,legislator,,,26
Chavis,82,high,legislator,"New
Mexico from all defense lawyers
association we stand in strong
support of this measure we also
are a member of the New Mexico
state coalition and we did give
this
this H",Nicole Chavis; John Chavis,47
Kates,80,high,legislator,,,31
Sheriff,80,high,legislator,,,32
Reeb,80,high,legislator,,,23
Madrid,79,high,legislator,,,39
Powdrell Culbert,79,high,legislator,,Culbert,24
Mentioned,78,high,official,,Schardin Clarke Mentioned; Props Mentioned; Chardon Clark Mentioned,57
Jaramillo,77,high,legislator,,,27
Sher,76,high,legislator,,,33
Tobiasin,74,high,legislator,,,31
Thanks,74,high,official,,Pope Yes Thanks,68
Serrato,73,high,legislator,,,49
Read,73,high,legislator,,,38
Serrado,71,high,legislator,,,20
Roybal Caballero,71,high,legislator,,Caballero,51
Simon Miller,71,high,public,"DFA
So R",Miller,47
Parajon,70,high,legislator,,,28
Scherer,70,high,legislator,,,24
Henry,69,high,legislator,,,23
Cates,68,high,legislator,,,34
Lu Han,68,high,legislator,,Han,38
Ashley Wagner,67,high,public,"New
Mexico chamber of commerce",,59
Terry Cole,67,high,public,"Albuquerque
chamber go ahead please",Cole,52
Second,66,high,lobbyist,Senator Jaramillo,,54
Stein,65,high,legislator,,,27
Doesn,63,high,official,,,57
Lee,63,high,public,"Galum McKinley County
Chamber of Commerce",Bill Lee,50
Brent Moore,63,high,public,,Moore,51
Boone,62,high,legislator,,,34
We'Re Gonna,62,high,official,,,59
Next,62,high,legislator,Kyle Jackson,,49
Lindstrom,62,high,legislator,,,20
Shendo,62,high,legislator,,,39
We'Re Going,62,high,official,Electronic price stickers to,Going,61
Welcome,62,high,official,,You'Re Welcome,57
Davis,62,high,public,"Wild Earth
Guardians",Tim Davis; Erica Davis; George Davis; Sean Davis; Joel Davis,42
Fajardo,61,high,legislator,"New Mexico
Farm Bureau",Kelly Fajardo,30
Correct,61,high,legislator,,You'Re Correct,57
Shindo,60,high,legislator,,,34
Guy,60,high,legislator,,,44
From,60,high,legislator,,Other Questions From; Jeff Steinborn From,56
What We'Re,60,high,official,,We'Re,54
Smith,60,high,legislator,"The New Mexico restaurant
association",Allison Smith; John Arthur Smith; Alex Castillo Smith,47
Moores,59,high,legislator,,,37
We'Re Not,58,high,official,New Mexico,Not,55
One Last Question,58,high,official,Senator Lanieri,Question,58
Hochman,57,high,legislator,,,32
Cadena,57,high,legislator,,,43
Who,56,high,official,,,51
About,56,high,legislator,,Talked About; Chatfield Talked About,54
Torres,56,high,unknown,New Mexico,Winter Torres; Mandy Torres; Ismael Torres,35
Thomson,56,high,legislator,,Liz Thomson,40
Morris,55,high,legislator,,Mike Morris,35
Clark,54,high,public,"Taxation and
Revenue Department",Stephanie Chardon Clark; Troy Clark; Chardon Clark; John Clark,39
Fernandez,53,high,legislator,,,29
Clemente,53,high,legislator,,,38
Schmedes,53,high,legislator,,,35
Before,53,high,official,,Anything Else Before,50
Charles,52,high,official,"New Mexico environmental law
center Senate bill eight allows
f",,37
Bradley,52,high,legislator,"New Mexico farm and
livestock bureau on behalf of
our twenty tho",,30
Duhigg,52,high,legislator,,,33
Sendo,51,high,legislator,,,32
Bash,51,high,legislator,,Karen Bash,27
Dao,49,high,legislator,,,27
Bert,49,high,legislator,,,20
Experts,49,high,legislator,,Representatives And Experts,36
Stefanics,48,high,legislator,,,30
When You'Re,48,high,official,,You'Re,45
We'Ve Got,48,high,official,,Got,48
Absolutely,47,high,legislator,"IT or the governmental
transfer",You'Re Absolutely,40
Designate,46,high,official,,,22
Dela Cruz,46,high,legislator,,,31
Sheer,46,high,legislator,,,23
Azel,46,high,legislator,,,22
Alison Riley,46,high,public,"New Mexico Chamber of
Commerce",Riley,40
Like,46,high,official,,Looks Like; Kernan Would Like,44
David,45,high,public,,,42
Sarinana,45,high,legislator,,,36
Terry,45,high,unknown,,,39
With The New,44,high,official,,,42
Sir,44,high,official,"Public Service Company
New Mexico we respectfully
oppose some Senate bill two
sixty six the public utility has
no control over how much behind
meter dispute distributed
generation is installed by a
customer or how much community
solar that supplies low income
customers a develop this means
the public utility has no
ability to require hard there
part actions to meet the R",,39
Doig,44,high,legislator,,,28
Simon,44,high,unknown,"Legislative
Finance Committee",Joseph Simon,22
Gave Us,44,high,legislator,"Senate bill eight
geothermal resources
development",Us,32
Then,43,high,official,Everytown for our,,42
Represented,43,high,official,,,37
Tom,43,high,legislator,"New Mexico counties and
towns for thirty years",,34
Bergmans,43,high,legislator,,,20
Nova,43,high,legislator,,,24
Michael,43,high,public,"BNSF twenty
nine years a loco",Jamie Michael,38
Scrase,43,high,expert,,Scrase Secretary Scrase,17
Also,43,high,official,Y o we are that you,But We Also,38
More,43,high,official,"Judiciary you know
when we have the hearing there
you know I actually had a an
amendment drafted up to make
also exemption
two million dollars in which we
thought would",Just One More,42
Are,42,high,official,"Sierra Club are you
there Camilla",,40
First,42,high,official,,,42
Are There Any,42,high,legislator,,,36
Trujil,42,high,legislator,,,30
Rehm Yes Ma,42,high,legislator,,Ma,29
Jim Jackson,42,high,public,"Albuquerque public
schools",Jackson,29
Kenny,41,high,official,,,23
Mike,41,high,public,"American
physical therapy association of
New Me",,37
Actually,41,high,official,,We'Ve Actually,41
Kelly,40,high,public,LSC perspective,,34
Brant,40,high,legislator,,,30
Cherry,39,high,unknown,,,36
Stansbury,39,high,legislator,,,19
Russell,39,high,unknown,"New Mexico
Finance Authority",Marquita Russell,25
Cullen,38,high,legislator,,,19
Your,38,high,legislator,,,37
Care,38,high,legislator,,Albuquerque Health Care,32
Baker,38,high,unknown,"New Mexico democratic veteran
caucus",John Baker; Benjamin Baker,21
Janet Williams,38,high,public,National Organization for Women,Williams,31
Are You Ready,37,high,legislator,,Ready,33
Courtney,37,high,expert,"LFC and we would stand for
questions okay of those in the
audience in support of one
ninety one",John Courtney,22
Our,37,high,official,,Sweetser For Our; All Of Our,31
Stephanics,36,high,legislator,,,21
Jennifer,36,high,public,"New
Mexico Public current currently",,32
Night,36,high,legislator,,,23
Steinberg,36,high,legislator,,,25
Ivy Soto,36,high,legislator,,,23
Leader,36,high,unknown,,Mr Leader,23
Guy It Goes,36,high,legislator,,Goes,32
Chief Justice,36,high,unknown,"Legislative Finance Committee
And with me at the table here
today is",Justice,19
Just To Clarify,35,high,official,,,34
Gregg,35,high,legislator,,,7
Share Votes,35,high,legislator,,,13
Alexandria Taylor,35,high,public,"New Mexico
coalition of sexual assault
programs we think Representative
Herndon for bringi",Taylor,32
Quickly,35,high,official,,Just Very Quickly; Very Quickly,33
Maybe,34,high,official,,,33
Great To See,34,high,official,,See,29
Torres Velasquez,34,high,legislator,,Velasquez,21
Tom Solomon,34,high,public,"New Mexico chapter
three fifty dot org",Solomon,18
Down,33,high,legislator,,,25
Robert,33,high,public,"New Mexico sikit Commission
yeah we bring up this Ford you",,28
Rubio,33,high,legislator,,,19
Green,33,high,legislator,,,23
Attorney General,33,high,unknown,"New Mexico
Department of Justice",General,16
Rounds,32,high,unknown,,,19
With Your Permission,32,high,official,,,31
Chan,32,high,unknown,,,29
Wood,32,high,legislator,,,23
Gallegos Yes Ma,32,high,legislator,,,24
Smitteez,32,high,legislator,,,22
Bill Jordan,32,high,lobbyist,"New Mexico voices
for children",Jordan,26
Out,32,high,legislator,,Pointed Out,30
Presenter,31,high,unknown,,,21
We'Re Ready,31,high,official,,,29
Graham,31,high,legislator,AARP,Cameron Graham,28
Today,31,high,official,,With Us Today; With Me Today,30
Mckenna Yes Centers,31,high,legislator,,Centers,20
Roy Moore,30,high,public,,,30
Stewart For Bringing,30,high,legislator,,,19
Work,30,high,legislator,"Kelly on this or is
this just the staff work with
Kelly",,26
Anyone Else,30,high,legislator,,,25
Called The Roll,30,high,official,,,25
Saying,30,high,official,,You'Re Saying; Are You Saying,30
Isn,29,high,official,,,28
Excellent,29,high,official,"Representative Lente a
second from Representative de la
Cruz",,25
Abbey,29,high,unknown,,,25
Dale,29,high,public,"Sierra
club my name is Dale during mass
and the circumstance in support
of this bill because integrating
solar charging facilit",,27
Emily,29,high,public,LFC,,24
Serato,29,high,legislator,,,19
Etcetera,29,high,official,,,27
Bloom,29,high,unknown,,,1
Brantly,29,high,legislator,,,12
Lanier Votes,29,high,legislator,,,21
Reeve,29,high,legislator,,,21
Royal Caballero,28,high,legislator,,,19
Liu,28,high,unknown,,,13
Auditor,28,high,unknown,,,9
Smitty,28,high,legislator,,,13
Other Questions,28,high,legislator,,,24
Doing,28,high,legislator,,,21
Paul Gibson,28,high,public,,Gibson,21
Gray,28,high,unknown,,Dana Gray; Brendan Gray,18
Chelsea Canada,27,high,public,"New Mexico chamber of
commerce we support Senate bill
one oh four in",,25
Camilla,27,high,public,"Rio
Grande chapter of the Sierra
Club and we heartily support
this bipartisan effo",,21
Compos,27,high,legislator,,,20
Schendo,27,high,legislator,,,22
Ree,27,high,legislator,,,15
Nichols,27,high,unknown,"New
Mexico Municipal League",Allison Nichols; Alison Nichols,16
Ortez,26,high,legislator,,,24
Thomas,26,high,legislator,,,24
Director,26,high,unknown,"Boring
Connections",,17
Padilla For Bringing,26,high,legislator,,,19
Chairs,26,high,unknown,,,25
Avila,26,high,unknown,,,12
Bergmann,26,high,legislator,,,13
Davidson,26,high,unknown,LSC,Austin Davidson,13
King,26,high,expert,,Martin Luther King,12
Represent,26,high,official,,Brown And Represent; Hernandez And Represent,23
Grayson,26,high,unknown,,James Grayson; Mr Grayson,11
Espinoza,26,high,unknown,"I New Mexico idea
which is the statewide
association o",Jason Espinoza,18
Heard,26,high,legislator,,We'Ve Heard; You'Ve Heard,26
Where,25,high,official,,,23
Karen,25,high,public,"Sergeant at Arms in the Senate
and a committee attendant for
the conservation",,22
Brian,25,high,public,"Albuquerque publishing in
Albuquerque journal I think our
steam lobbyist said every",,23
Stein Born,25,high,legislator,,,16
Burke,25,high,legislator,,,22
Ely,25,high,legislator,,,18
Compost,25,high,legislator,,,15
Deborah,25,high,official,"Mexico
moms demand action passing H",,19
Hemphill Votes,25,high,legislator,,,11
Appreciate The Time,25,high,official,,Time,25
When We Get,25,high,legislator,,Get,23
Vargas,25,high,unknown,"New Mexico Healthcare
Association",Vicente Vargas,13
Tom Patterson,24,high,public,Luna,,20
Lohan,24,high,legislator,,,18
Dell,24,high,legislator,,,20
Presenters,24,high,official,,,21
Sarah,24,high,public,New Mexico,,19
Barbara,24,high,public,New,,22
Let Me Ask,24,high,official,,,24
Amanda,24,high,public,Amanda are gone,,22
Alright,24,high,legislator,,,21
Guy Goes,24,high,legislator,,,18
With The National,24,high,official,,,23
Michelle Lujan Grisham,24,high,official,,,22
Didn,24,high,official,,,24
Ezel,24,high,legislator,,,17
We'Ve Been,24,high,official,,,23
Page,24,high,official,,Over On Page,20
Martin,24,high,public,Sanchez to address o,Emily Martin,21
Neighbor,23,high,legislator,,,16
Maryland,23,high,public,,,22
You'Re Right,23,high,legislator,,,22
Joe,23,high,public,"New
Mexico school boards association
our membership",,22
Terrazas,23,high,legislator,,,14
Your Muted,23,high,official,,,18
Brand,23,high,legislator,,,20
Gonzalez Votes,23,high,legislator,,,14
Woods Votes,23,high,legislator,,,17
Akan,23,high,legislator,,,17
Rehm No Ma,23,high,legislator,,,17
Senate Bill Two,23,high,official,"Department of
Health",Two,22
Minor,23,high,unknown,"State Budget
division",Andrew Minor,13
Valdez,23,high,unknown,"Center for
Housing Economics",Naomi Valdez; Roger Valdez,18
Moya,23,high,legislator,,Mirabel Moya; Maribal Moya,13
Wuhan,22,high,legislator,,,17
Sariana,22,high,legislator,,,17
Kerry,22,high,public,,,21
Jim Winchester,22,high,public,"Independent Petroleum
Association of New Mexico",,22
Dan,22,high,public,"Bernalillo County
here today",,20
With New Mexico,22,high,official,,,21
Campos Votes,22,high,legislator,,,13
Brantley Votes,22,high,legislator,,,10
Linier,22,high,legislator,,,13
Penske,22,high,legislator,,,14
Does,22,high,official,,What This Does,21
Roy,22,high,public,"Representative
Matthews is CFO as many of you
may know our mission at",Pam Roy,18
Say,22,high,official,,When You Say; Let Me Say,21
Terazas,21,high,legislator,,,14
Matt,21,high,public,"US Mexico oil and gas
association logo poses SB five
twenty we think this bi",,21
Allyson,21,high,legislator,,,12
What You'Re,21,high,legislator,,,21
Laura,21,high,public,,,19
Bob,21,high,public,,,19
Jim,21,high,public,,,19
Brett,21,high,legislator,,,19
Linda,21,high,public,"New Mexico school for the deaf I
am curren",,20
Senators My Name,21,high,official,,,18
Stephonics,21,high,legislator,,,13
Committees,21,high,legislator,,,16
Call The Roll,21,high,official,,,20
Bert Votes,21,high,legislator,,,11
Keys,21,high,official,,Alicia Keys,16
Over,21,high,official,"PSF pay to do
it",Turn It Over,21
Jorgensen,21,high,unknown,LFC,Connor Jorgensen,12
James,21,high,public,"Gallup McKinley
county with four together action
I support H",Tania James,18
These,21,high,legislator,,Some Of These; These Are These,19
Just One Question,20,high,official,,,20
Sherman,20,high,unknown,,,20
Just One Quick,20,high,official,,,20
Mister,20,high,public,,,20
Please Go Ahead,20,high,official,,,18
Line,20,high,official,,,15
We'Re Talking,20,high,official,,,20
Ring,20,high,legislator,,,18
Anybody Else,20,high,legislator,,,18
Whenever You'Re,20,high,legislator,,,19
Says,20,high,legislator,,,19
Nat Dean,20,high,public,,,16
Chris,20,high,public,"Pakistan
talks with a foreclosure firms
here in Bernalillo county and
and and",,18
Judy,20,high,public,Audubon,,17
Leri Sonntag,20,high,public,"New Mexico business
coalition we strongly support
house bill two eleven there are
legi",,16
Eel,20,high,legislator,,,16
Figuero,20,high,legislator,,,12
Hockman,20,high,legislator,,,13
Masters,20,high,legislator,,,10
Case,20,high,legislator,,Von Case,16
With The Office,20,high,official,,Office,19
Department,20,high,official,,With The Department; From The Department,19
Figaro,19,high,legislator,,,14
Lotta,19,high,legislator,,,14
Eric,19,high,public,,,17
Jessica,19,high,public,"LFC and
their couple years down in their
students suc",,18
Meredith Main,19,high,public,"League
of Women Voters of New Mexico
and the American Association of
Univ",,14
How,19,high,official,,,18
Gaydos,19,high,legislator,,,17
Parejon,19,high,legislator,,,11
Paypen,19,high,legislator,,,15
Charley,19,high,legislator,,,17
Current,19,high,legislator,,,17
Abita,19,high,legislator,,,9
Back,19,high,legislator,Santo,We'Re Back,18
Senna,19,high,official,,Lance Senna,13
Tiffany Rivera,19,high,public,"Mexico Farm
and Livestock Bureau",Rivera,17
Senate Bill Three,19,high,official,,Three,19
State,19,high,official,"New Mexico voices for children
forces for",New Mexico State,18
One Thing,19,high,official,,Thing,19
Make,19,high,official,,Just To Make,19
Nathan,19,high,public,,Fred Nathan,18
Start,19,high,legislator,Representative Pettigrew,We'Ll Start; Let Me Start,19
Still,19,high,legislator,,You'Re Still; We'Re Still,19
Daniel,18,high,public,San Juan County,,15
Pettigrew In Opposition,18,high,legislator,,,15
Sareana,18,high,legislator,,,13
Steve,18,high,public,,,16
Carla,18,high,public,Albuquerque,,16
Just Real Quick,18,high,official,,,18
Rachel Biggs,18,high,public,"Albuquerque Health Care for the
Homeless",,15
Garcia For Bringing,18,high,legislator,,,11
Hill,18,high,legislator,"Department of Finance and
Administration and Dylan Lang",,16
Stephanie,18,high,public,"UNM where something
unprecedented happened for the
first time eve",,16
Ellen,18,high,public,,,17
Soul,18,high,legislator,,,17
Matthew,18,high,legislator,"New
Mexico the needs to be",,16
Stefaniks,18,high,legislator,,,12
Trio,18,high,legislator,,,17
Stein Born Votes,18,high,legislator,,,9
Scott Scanlon,18,high,public,,Scanlon,15
Weeks,18,high,unknown,,Dan Weeks,14
Jim Copeland,18,high,public,"Association of
Developmental Disabilities
Community providers",Copeland,16
Any Other Comments,18,high,legislator,"Department of
Health",Comments,18
Sullivan,18,high,unknown,"Department of Justice to provide
a brief overview",Sean Sullivan,6
Bowie,18,high,official,"Department of
would see from
Governments now",Jason Bowie,12
Set Up Though,18,high,legislator,,Though,15
Bauer,17,high,unknown,,,7
Camilla Feibelman,17,high,public,Sierra Club,,14
Jeff,17,high,public,,,15
Lisa,17,high,public,"New
Mexico Center on property and",,14
Alan,17,high,public,,,12
Ream,17,high,legislator,,,12
Thanks For Bringing,17,high,legislator,,,16
With All Due,17,high,official,,,16
Sali,17,high,unknown,,,10
Sam,17,high,public,Dallas States always staying,,12
Rachel,17,high,public,"New
Mexico Academy of nutrition and
die",,15
Man,17,high,unknown,,,16
Adrian,17,high,public,"LFC is my expert witness and I
see John guest bridge are on
there John this is Adrian
available to help with this",,15
Lustrom,17,high,legislator,,,10
Thompson For Bringing,17,high,legislator,,,12
Parker,17,high,legislator,,,15
Lucy,17,high,public,,,17
Gonzales Is Excused,17,high,legislator,,,9
Louise,17,high,legislator,"New
Mexico family advocacy program I
have seen first",,13
Sapansy,17,high,legislator,,,14
Shelton,17,high,unknown,,Ben Shelton,7
Ranking Member,17,high,unknown,,Member,13
Stephanie Schardin Clarke,17,high,public,,Clarke,16
Archuleta,17,high,unknown,,David Archuleta,14
Joyce,17,high,public,"Rocky
Mountain Farmers Union",Gillian Joyce,17
Hughes,17,high,unknown,"Coalition of Sustainable
Communities",Ken Hughes,12
Sandra Frank,17,high,public,Gail Muscat in the US who is ou,Frank,14
New Mexico Kids,17,high,official,,Kids,12
Belinda Garland,17,high,public,,Garland,10
Sharon Berman,17,high,public,"New Mexico first many
of you are here or anybody else
wants to speak on this",Berman,14
Lucero,17,high,lobbyist,"Southwest New Mexico Council
of Governments and Dora Battista
from the southeast
er n New Mexico Economic
Development District",Alicia Tafoya Lucero; Carlos Lucero,15
Mayor,16,high,unknown,Farmington,,13
Albuquerque,16,high,lobbyist,Northwest Mesa of Albuquerque,,16
Silly,16,high,unknown,,,9
